UnixTime,Row,Segment,Timestamp,ET_GazeLeftx,ET_GazeLefty,ET_GazeRightx,ET_GazeRighty,ET_PupilLeft,ET_PupilRight,ET_TimeSignal,ET_DistanceLeft,ET_DistanceRight,ET_CameraLeftX,ET_CameraLeftY,ET_CameraRightX,ET_CameraRightY,ET_ValidityLeft,ET_ValidityRight,Participant
1680003245.2579312,12031,BlankScreen1,2023-03-28 17:04:05.257931,-1.0,-1.0,1113.0,545.0,-1.0,2.944183349609375,100266.27899999998,-1.0,579.4392700195312,-1.0,-1.0,0.4261967539787292,0.4898911714553833,4.0,0.0,1
1680003245.266337,12032,BlankScreen1,2023-03-28 17:04:05.266337,1096.0,538.0,1095.0,549.0,-1.0,-1.0,100274.68700000003,581.6715698242188,579.2680053710938,0.5861015319824218,0.4903947114944458,0.42617067694664,0.4899134337902069,0.0,0.0,1
1680003245.2745986,12033,BlankScreen1,2023-03-28 17:04:05.274599,1093.0,542.0,1116.0,542.0,-1.0,-1.0,100282.94800000003,581.5175170898438,579.2015380859375,0.5862684845924377,0.4904121458530426,0.4262890815734863,0.4898153841495513,0.0,0.0,1
1680003245.2829156,12034,BlankScreen1,2023-03-28 17:04:05.282916,1093.0,543.0,1111.0,540.0,2.7145233154296875,2.991928100585937,100291.266,581.4200439453125,579.1577758789064,0.5862250328063964,0.4904379844665527,0.426233947277069,0.4898779094219207,0.0,0.0,1
1680003245.291271,12035,BlankScreen1,2023-03-28 17:04:05.291271,1106.0,514.0,1113.0,545.0,-1.0,-1.0,100299.619,581.231689453125,579.0146484375,0.5861778855323792,0.4904083013534545,0.426210880279541,0.4898651540279388,0.0,0.0,1
1680003245.2995994,12036,BlankScreen1,2023-03-28 17:04:05.299599,1103.0,516.0,1111.0,547.0,-1.0,-1.0,100307.947,581.1365356445312,578.971435546875,0.5863668322563171,0.4904361367225647,0.4263874888420105,0.4898273646831512,0.0,0.0,1
1680003245.3079116,12037,BlankScreen1,2023-03-28 17:04:05.307912,1094.0,541.0,1106.0,552.0,2.899688720703125,2.952850341796875,100316.262,581.095703125,578.9503173828125,0.5864279270172119,0.4904431700706481,0.4264462292194366,0.4898643493652343,0.0,0.0,1
1680003245.316264,12038,BlankScreen1,2023-03-28 17:04:05.316264,1091.0,548.0,1069.0,552.0,-1.0,-1.0,100324.613,580.9679565429688,578.8258056640625,0.5864143967628479,0.4904170036315918,0.4264767467975616,0.489807903766632,0.0,0.0,1
1680003245.3245895,12039,BlankScreen1,2023-03-28 17:04:05.324590,1084.0,532.0,1069.0,552.0,-1.0,-1.0,100332.939,580.9300537109375,578.8008422851562,0.5865227580070494,0.4904916882514953,0.426581472158432,0.4898560047149658,0.0,0.0,1
1680003245.3329308,12040,BlankScreen1,2023-03-28 17:04:05.332931,1085.0,538.0,1073.0,543.0,3.0462799072265625,2.950668334960937,100341.28000000004,580.9388427734375,578.79931640625,0.5864384174346923,0.49048313498497,0.4264970421791076,0.4898618459701538,0.0,0.0,1
