TimeStamp,UnixTime,QuestionKey,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant
2023-03-28 17:03:21.232,1680003201.232,,0.98390365,0.8197672,1.1602862,1.8552603,0.48100764,0.15776221,0.5570879,0.37628347,0.8914128,0.40018207,0.51101327,1.2178344,0.43337116,-0.32997403,-0.21039978,1.2943034,-0.24660547,-1.007611,-0.86509365,1.2915044,866.30035,858.24176,852.1978,641.4652,848.97437,-0.060546875,0.15869140625,0.994140625,-0.829925537109375,2.75146484375,4.134674072265625,1.0,1.0,1.0,1.0,2.0,92.98,,1
2023-03-28 17:03:21.234,1680003201.234,,0.98390365,0.8197672,1.1602862,1.8552603,0.48100764,0.15776221,0.5570879,0.37628347,0.8914128,0.40018207,0.51101327,1.2178344,0.43337116,-0.32997403,-0.21039978,1.2943034,-0.24660547,-1.007611,-0.86509365,1.2915044,850.989,859.85345,853.4066,630.18317,853.8095,-0.060546875,0.15869140625,0.994140625,-0.829925537109375,2.75146484375,4.134674072265625,1.0,1.0,1.0,1.0,2.0,92.98,,1
2023-03-28 17:03:21.235,1680003201.235,,0.98390365,0.8197672,1.1602862,1.8552603,0.48100764,0.15776221,0.5570879,0.37628347,0.8914128,0.40018207,0.51101327,1.2178344,0.43337116,-0.32997403,-0.21039978,1.2943034,-0.24660547,-1.007611,-0.86509365,1.2915044,848.5714,860.65936,854.21246,641.06226,871.13556,-0.060546875,0.15869140625,0.994140625,-0.829925537109375,2.75146484375,4.134674072265625,1.0,1.0,1.0,1.0,2.0,92.98,,1
2023-03-28 17:03:21.236,1680003201.236,,0.98390365,0.8197672,1.1602862,1.8552603,0.48100764,0.15776221,0.5570879,0.37628347,0.8914128,0.40018207,0.51101327,1.2178344,0.43337116,-0.32997403,-0.21039978,1.2943034,-0.24660547,-1.007611,-0.86509365,1.2915044,859.0476,860.2564,853.00366,638.6447,865.09155,-0.060546875,0.15869140625,0.994140625,-0.829925537109375,2.75146484375,4.134674072265625,1.0,1.0,1.0,1.0,2.0,92.98,,1
2023-03-28 17:03:21.237,1680003201.237,,0.98390365,0.8197672,1.1602862,1.8552603,0.48100764,0.15776221,0.5570879,0.37628347,0.8914128,0.40018207,0.51101327,1.2178344,0.43337116,-0.32997403,-0.21039978,1.2943034,-0.24660547,-1.007611,-0.86509365,1.2915044,867.1062,859.45056,853.8095,637.03296,863.8828,-0.060546875,0.15869140625,0.994140625,-0.829925537109375,2.75146484375,4.134674072265625,1.0,1.0,1.0,1.0,2.0,92.98,,1
2023-03-28 17:03:21.238,1680003201.238,,0.98390365,0.8197672,1.1602862,1.8552603,0.48100764,0.15776221,0.5570879,0.37628347,0.8914128,0.40018207,0.51101327,1.2178344,0.43337116,-0.32997403,-0.21039978,1.2943034,-0.24660547,-1.007611,-0.86509365,1.2915044,863.47986,860.65936,855.82416,633.00366,869.92676,-0.060546875,0.15869140625,0.994140625,-0.829925537109375,2.75146484375,4.134674072265625,1.0,1.0,1.0,1.0,2.0,92.98,,1
2023-03-28 17:03:21.239,1680003201.2389998,,0.98390365,0.8197672,1.1602862,1.8552603,0.48100764,0.15776221,0.5570879,0.37628347,0.8914128,0.40018207,0.51101327,1.2178344,0.43337116,-0.32997403,-0.21039978,1.2943034,-0.24660547,-1.007611,-0.86509365,1.2915044,845.7509,860.65936,851.39197,597.5458,847.76556,-0.060546875,0.15869140625,0.994140625,-0.829925537109375,2.75146484375,4.134674072265625,1.0,1.0,1.0,1.0,2.0,92.98,,1
2023-03-28 17:03:21.241,1680003201.241,,0.98390365,0.8197672,1.1602862,1.8552603,0.48100764,0.15776221,0.5570879,0.37628347,0.8914128,0.40018207,0.51101327,1.2178344,0.43337116,-0.32997403,-0.21039978,1.2943034,-0.24660547,-1.007611,-0.86509365,1.2915044,840.5128,858.6447,850.58606,609.6337,867.9121,-0.060546875,0.15869140625,0.994140625,-0.829925537109375,2.75146484375,4.134674072265625,1.0,1.0,1.0,1.0,2.0,92.98,,1
2023-03-28 17:03:21.242,1680003201.242,,0.98390365,0.8197672,1.1602862,1.8552603,0.48100764,0.15776221,0.5570879,0.37628347,0.8914128,0.40018207,0.51101327,1.2178344,0.43337116,-0.32997403,-0.21039978,1.2943034,-0.24660547,-1.007611,-0.86509365,1.2915044,853.00366,859.85345,853.8095,616.08057,871.13556,-0.060546875,0.15869140625,0.994140625,-0.829925537109375,2.75146484375,4.134674072265625,1.0,1.0,1.0,1.0,2.0,92.98,,1
2023-03-28 17:03:21.243,1680003201.243,,0.98390365,0.8197672,1.1602862,1.8552603,0.48100764,0.15776221,0.5570879,0.37628347,0.8914128,0.40018207,0.51101327,1.2178344,0.43337116,-0.32997403,-0.21039978,1.2943034,-0.24660547,-1.007611,-0.86509365,1.2915044,863.47986,862.27106,853.00366,621.31866,873.1502,-0.060546875,0.15869140625,0.994140625,-0.829925537109375,2.75146484375,4.134674072265625,1.0,1.0,1.0,1.0,2.0,92.98,,1
